command,intent,direction,distance,duration,task,count
take off and go 190m north-east,takeoff,north-east,190m,-,fly,-
fly 190m left and take 8 shots,fly,left,190m,-,capture,8
take off and go 11m west,takeoff,west,11m,-,fly,-
move 193m south and record video for 16 seconds,fly,south,193m,16 seconds,record,-
take 18 shots then land,capture,-,-,-,land,18
go 223m north west then scan for 30s,fly,north west,223m,30s,scan,-
move 282m east and record video for 19 seconds,fly,east,282m,19 seconds,record,-
climb 219ft and hover,fly,up,219ft,-,hover,-
hover for 19 seconds then take 19 pictures,hover,-,-,19 seconds,capture,19
take off and go 159m north west,takeoff,north west,159m,-,fly,-
go 278m south-west then scan for 7 seconds,fly,south-west,278m,7 seconds,scan,-
move 1.5km SW and record video for 4 minutes,fly,SW,1.5km,4 minutes,record,-
hover for 19 seconds then take 19 images,hover,-,-,19 seconds,capture,19
fly 36m east and take 1 shots,fly,east,36m,-,capture,1
move 0.6km east and record video for 7 seconds,fly,east,0.6km,7 seconds,record,-
move 474ft north and record video for 22s,fly,north,474ft,22s,record,-
move 133ft up and record video for 9m,fly,up,133ft,9m,record,-
go 57m north west then scan for 2m,fly,north west,57m,2m,scan,-
go 219ft south west then scan for 27s,fly,south west,219ft,27s,scan,-
hover for 19 seconds then take 17 pictures,hover,-,-,19 seconds,capture,17
move 36m east and record video for 16s,fly,east,36m,16s,record,-
take off and go 130ft right,takeoff,right,130ft,-,fly,-
climb 307ft and hover,fly,up,307ft,-,hover,-
scan for 9m then return to base,scan,-,-,9m,return,-
hover for 27s then take 14 shots,hover,-,-,27s,capture,14
move 214m forward and record video for 7 seconds,fly,forward,214m,7 seconds,record,-
move 231m south-west and record video for 60s,fly,south-west,231m,60s,record,-
fly 122ft west and take 12 pics,fly,west,122ft,-,capture,12
scan for 19 seconds then return to base,scan,-,-,19 seconds,return,-
take 1 pictures then land,capture,-,-,-,land,1
go 214m SW then scan for 16s,fly,SW,214m,16s,scan,-
hover for 30s then take 17 shots,hover,-,-,30s,capture,17
hover for 10m then take 12 pics,hover,-,-,10m,capture,12
take 1 shots then land,capture,-,-,-,land,1
move 394ft forward and record video for 40s,fly,forward,394ft,40s,record,-
